Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
CBL_HUMAN	SigPrize	true	0, 3.517685, 2.026152, 2.308841, 1.777209, 0.883651, 0.703627, 0.30822	0, 2.863492, 2.17382, 1.800021, 1.500811, 0.651401, 0.245038, 0.059363	0, 2.328417, 1.838195, 1.297872, 1.008994, 0.580786, 0.18627, 0.138009				0, 3.330133, 2.94167, 2.88807, 2.297193, 2.164144, 1.864043, 0.712938	0, 2.89177, 2.41411, 2.203914, 1.669355, 1.293718, 0.50924, 0.760501								
CCD25_HUMAN	Excluded	false	0, -0.13867, 0.530287, 0.050453, -0.099994, -0.124729, -0.062736, 0.338906															
CCD43_HUMAN	Excluded	false							0, -0.352955, -0.295981, -0.553876, -0.200865, -0.204437, -0.211672, 0.378778									
CCD50_HUMAN	SigPrize	false	0, 3.57856, 2.621905, 2.258273, 1.789846, 0.891544, 0.449213, -0.079719	0, 2.236281, 1.517528, 0.995585, 0.799175, 0.138731, 0.032584, -0.412486														
CCD53_HUMAN	Steiner	false																
CCD86_HUMAN	Excluded	false							0, -0.334195, -0.272953, -0.190448, -0.260029, -0.18974, -0.205187, -0.037659	0, -0.167417, -0.014436, -0.275435, -0.13799, -0.15384, -0.307794, -1.19133								
CCD97_HUMAN	Excluded	false							0, -0.892246, 0.009403, -0.535507, -0.807396, -0.481823, -0.11978, -0.295403									
CCDC6_HUMAN	Excluded	false							0, 0.162213, 0.332067, 0.166581, 0.102316, 0.697887, 0.416552, 0.10795									
CCNK_HUMAN	SigPrize	false	0, -0.331903, -0.826438, -0.444712, -0.244447, -0.746548, -0.239369, -0.292546															
CCNL2_HUMAN	Excluded	false							0, -0.257337, -1.12664, -0.18247, -0.284445, -0.527847, -0.647882, -0.224561									
